--------------------------------
time: Fri May 20 14:29:40 2016
----------- process: ------------
Name: TrkWks, Type: Share Process, Works for: 92
Name: UmRdpService, Type: Share Process, Works for: 92
Name: UserManager, Type: Share Process, Works for: 1188
Name: UsoSvc, Type: Share Process, Works for: 1188
Name: VaultSvc, Type: Share Process, Works for: 684
Name: W32Time, Type: Share Process, Works for: 1196
Name: Wcmsvc, Type: Share Process, Works for: 1148
Name: WdiServiceHost, Type: Share Process, Works for: 1196
Name: WinHttpAutoProxySvc, Type: Share Process, Works for: 1196
Name: Winmgmt, Type: Share Process, Works for: 1188
Name: WlanSvc, Type: Share Process, Works for: 92
Name: wscsvc, Type: Share Process, Works for: 1148
Name: WSearch, Type: Own Process, Works for: 3828
Name: wuauserv, Type: Share Process, Works for: 1188
Name: wudfsvc, Type: Share Process, Works for: 92
